datetime,rainfall_mm,site
01/05/2023 00:00:00,0,HY Nelson at Princes Dr
01/05/2023 01:00:00,0,HY Nelson at Princes Dr
01/05/2023 02:00:00,0,HY Nelson at Princes Dr
01/05/2023 03:00:00,0,HY Nelson at Princes Dr
01/05/2023 04:00:00,0,HY Nelson at Princes Dr
01/05/2023 05:00:00,0,HY Nelson at Princes Dr
01/05/2023 06:00:00,0,HY Nelson at Princes Dr
01/05/2023 07:00:00,0,HY Nelson at Princes Dr
01/05/2023 08:00:00,0,HY Nelson at Princes Dr
01/05/2023 09:00:00,0,HY Nelson at Princes Dr
01/05/2023 10:00:00,0,HY Nelson at Princes Dr
01/05/2023 11:00:00,0,HY Nelson at Princes Dr
01/05/2023 12:00:00,0,HY Nelson at Princes Dr
01/05/2023 13:00:00,0,HY Nelson at Princes Dr
01/05/2023 14:00:00,0,HY Nelson at Princes Dr
01/05/2023 15:00:00,0,HY Nelson at Princes Dr
01/05/2023 16:00:00,0,HY Nelson at Princes Dr
01/05/2023 17:00:00,0,HY Nelson at Princes Dr
01/05/2023 18:00:00,0,HY Nelson at Princes Dr
01/05/2023 19:00:00,0,HY Nelson at Princes Dr
01/05/2023 20:00:00,1,HY Nelson at Princes Dr
01/05/2023 21:00:00,0,HY Nelson at Princes Dr
01/05/2023 22:00:00,0,HY Nelson at Princes Dr
01/05/2023 23:00:00,1,HY Nelson at Princes Dr
02/05/2023 00:00:00,0,HY Nelson at Princes Dr
02/05/2023 01:00:00,0.5,HY Nelson at Princes Dr
02/05/2023 02:00:00,0,HY Nelson at Princes Dr
02/05/2023 03:00:00,0,HY Nelson at Princes Dr
02/05/2023 04:00:00,0.5,HY Nelson at Princes Dr
02/05/2023 05:00:00,0,HY Nelson at Princes Dr
02/05/2023 06:00:00,0,HY Nelson at Princes Dr
02/05/2023 07:00:00,0,HY Nelson at Princes Dr
02/05/2023 08:00:00,0,HY Nelson at Princes Dr
02/05/2023 09:00:00,0,HY Nelson at Princes Dr
02/05/2023 10:00:00,0,HY Nelson at Princes Dr
02/05/2023 11:00:00,1,HY Nelson at Princes Dr
02/05/2023 12:00:00,0.5,HY Nelson at Princes Dr
02/05/2023 13:00:00,0,HY Nelson at Princes Dr
02/05/2023 14:00:00,0,HY Nelson at Princes Dr
02/05/2023 15:00:00,0,HY Nelson at Princes Dr
02/05/2023 16:00:00,0,HY Nelson at Princes Dr
02/05/2023 17:00:00,0,HY Nelson at Princes Dr
02/05/2023 18:00:00,0.5,HY Nelson at Princes Dr
02/05/2023 19:00:00,0,HY Nelson at Princes Dr
02/05/2023 20:00:00,0,HY Nelson at Princes Dr
02/05/2023 21:00:00,0,HY Nelson at Princes Dr
02/05/2023 22:00:00,0,HY Nelson at Princes Dr
02/05/2023 23:00:00,0,HY Nelson at Princes Dr
03/05/2023 00:00:00,0,HY Nelson at Princes Dr
03/05/2023 01:00:00,0,HY Nelson at Princes Dr
03/05/2023 02:00:00,0,HY Nelson at Princes Dr
03/05/2023 03:00:00,0,HY Nelson at Princes Dr
03/05/2023 04:00:00,0,HY Nelson at Princes Dr
03/05/2023 05:00:00,0,HY Nelson at Princes Dr
03/05/2023 06:00:00,0,HY Nelson at Princes Dr
03/05/2023 07:00:00,0,HY Nelson at Princes Dr
03/05/2023 08:00:00,0,HY Nelson at Princes Dr
03/05/2023 09:00:00,0,HY Nelson at Princes Dr
03/05/2023 10:00:00,0,HY Nelson at Princes Dr
03/05/2023 11:00:00,0,HY Nelson at Princes Dr
03/05/2023 12:00:00,0,HY Nelson at Princes Dr
03/05/2023 13:00:00,0.5,HY Nelson at Princes Dr
03/05/2023 14:00:00,0,HY Nelson at Princes Dr
03/05/2023 15:00:00,0,HY Nelson at Princes Dr
03/05/2023 16:00:00,0,HY Nelson at Princes Dr
03/05/2023 17:00:00,0,HY Nelson at Princes Dr
03/05/2023 18:00:00,0,HY Nelson at Princes Dr
03/05/2023 19:00:00,0,HY Nelson at Princes Dr
03/05/2023 20:00:00,0,HY Nelson at Princes Dr
03/05/2023 21:00:00,21.5,HY Nelson at Princes Dr
03/05/2023 22:00:00,1.5,HY Nelson at Princes Dr
03/05/2023 23:00:00,1.5,HY Nelson at Princes Dr
04/05/2023 00:00:00,0.5,HY Nelson at Princes Dr
04/05/2023 01:00:00,1,HY Nelson at Princes Dr
04/05/2023 02:00:00,0.5,HY Nelson at Princes Dr
04/05/2023 03:00:00,1.5,HY Nelson at Princes Dr
04/05/2023 04:00:00,0.5,HY Nelson at Princes Dr
04/05/2023 05:00:00,0,HY Nelson at Princes Dr
04/05/2023 06:00:00,0,HY Nelson at Princes Dr
04/05/2023 07:00:00,0,HY Nelson at Princes Dr
04/05/2023 08:00:00,0,HY Nelson at Princes Dr
04/05/2023 09:00:00,0.5,HY Nelson at Princes Dr
04/05/2023 10:00:00,0.5,HY Nelson at Princes Dr
04/05/2023 11:00:00,0.5,HY Nelson at Princes Dr
04/05/2023 12:00:00,1,HY Nelson at Princes Dr
04/05/2023 13:00:00,0.5,HY Nelson at Princes Dr
04/05/2023 14:00:00,0,HY Nelson at Princes Dr
04/05/2023 15:00:00,0,HY Nelson at Princes Dr
04/05/2023 16:00:00,0,HY Nelson at Princes Dr
04/05/2023 17:00:00,0,HY Nelson at Princes Dr
04/05/2023 18:00:00,0,HY Nelson at Princes Dr
04/05/2023 19:00:00,0,HY Nelson at Princes Dr
04/05/2023 20:00:00,0,HY Nelson at Princes Dr
04/05/2023 21:00:00,0,HY Nelson at Princes Dr
04/05/2023 22:00:00,0,HY Nelson at Princes Dr
04/05/2023 23:00:00,0,HY Nelson at Princes Dr
05/05/2023 00:00:00,0,HY Nelson at Princes Dr
05/05/2023 01:00:00,0,HY Nelson at Princes Dr
05/05/2023 02:00:00,0,HY Nelson at Princes Dr
05/05/2023 03:00:00,0,HY Nelson at Princes Dr
05/05/2023 04:00:00,0,HY Nelson at Princes Dr
05/05/2023 05:00:00,0,HY Nelson at Princes Dr
05/05/2023 06:00:00,0,HY Nelson at Princes Dr
05/05/2023 07:00:00,0,HY Nelson at Princes Dr
05/05/2023 08:00:00,0,HY Nelson at Princes Dr
05/05/2023 09:00:00,0,HY Nelson at Princes Dr
05/05/2023 10:00:00,1.5,HY Nelson at Princes Dr
05/05/2023 11:00:00,0,HY Nelson at Princes Dr
05/05/2023 12:00:00,1.5,HY Nelson at Princes Dr
05/05/2023 13:00:00,0.5,HY Nelson at Princes Dr
05/05/2023 14:00:00,0.5,HY Nelson at Princes Dr
05/05/2023 15:00:00,1,HY Nelson at Princes Dr
05/05/2023 16:00:00,1,HY Nelson at Princes Dr
05/05/2023 17:00:00,1.5,HY Nelson at Princes Dr
05/05/2023 18:00:00,3,HY Nelson at Princes Dr
05/05/2023 19:00:00,2.5,HY Nelson at Princes Dr
05/05/2023 20:00:00,3,HY Nelson at Princes Dr
05/05/2023 21:00:00,2,HY Nelson at Princes Dr
05/05/2023 22:00:00,1,HY Nelson at Princes Dr
05/05/2023 23:00:00,2.5,HY Nelson at Princes Dr
06/05/2023 00:00:00,1,HY Nelson at Princes Dr
06/05/2023 01:00:00,0.5,HY Nelson at Princes Dr
06/05/2023 02:00:00,2,HY Nelson at Princes Dr
06/05/2023 03:00:00,2.5,HY Nelson at Princes Dr
06/05/2023 04:00:00,6.5,HY Nelson at Princes Dr
06/05/2023 05:00:00,4.5,HY Nelson at Princes Dr
06/05/2023 06:00:00,4.5,HY Nelson at Princes Dr
06/05/2023 07:00:00,8,HY Nelson at Princes Dr
06/05/2023 08:00:00,25.5,HY Nelson at Princes Dr
06/05/2023 09:00:00,1,HY Nelson at Princes Dr
06/05/2023 10:00:00,0.5,HY Nelson at Princes Dr
06/05/2023 11:00:00,2.5,HY Nelson at Princes Dr
06/05/2023 12:00:00,1,HY Nelson at Princes Dr
06/05/2023 13:00:00,1,HY Nelson at Princes Dr
06/05/2023 14:00:00,0,HY Nelson at Princes Dr
06/05/2023 15:00:00,0,HY Nelson at Princes Dr
06/05/2023 16:00:00,2,HY Nelson at Princes Dr
06/05/2023 17:00:00,0.5,HY Nelson at Princes Dr
06/05/2023 18:00:00,0,HY Nelson at Princes Dr
06/05/2023 19:00:00,0,HY Nelson at Princes Dr
06/05/2023 20:00:00,0,HY Nelson at Princes Dr
06/05/2023 21:00:00,0,HY Nelson at Princes Dr
06/05/2023 22:00:00,0,HY Nelson at Princes Dr
06/05/2023 23:00:00,1,HY Nelson at Princes Dr
07/05/2023 00:00:00,0,HY Nelson at Princes Dr
07/05/2023 01:00:00,0,HY Nelson at Princes Dr
07/05/2023 02:00:00,0,HY Nelson at Princes Dr
07/05/2023 03:00:00,0,HY Nelson at Princes Dr
07/05/2023 04:00:00,0.5,HY Nelson at Princes Dr
07/05/2023 05:00:00,0.5,HY Nelson at Princes Dr
07/05/2023 06:00:00,1,HY Nelson at Princes Dr
07/05/2023 07:00:00,0.5,HY Nelson at Princes Dr
07/05/2023 08:00:00,0.5,HY Nelson at Princes Dr
07/05/2023 09:00:00,0.5,HY Nelson at Princes Dr
07/05/2023 10:00:00,0,HY Nelson at Princes Dr
07/05/2023 11:00:00,0,HY Nelson at Princes Dr
07/05/2023 12:00:00,0.5,HY Nelson at Princes Dr
07/05/2023 13:00:00,0.5,HY Nelson at Princes Dr
07/05/2023 14:00:00,0,HY Nelson at Princes Dr
07/05/2023 15:00:00,0,HY Nelson at Princes Dr
07/05/2023 16:00:00,0,HY Nelson at Princes Dr
07/05/2023 17:00:00,0,HY Nelson at Princes Dr
07/05/2023 18:00:00,0,HY Nelson at Princes Dr
07/05/2023 19:00:00,0,HY Nelson at Princes Dr
07/05/2023 20:00:00,0,HY Nelson at Princes Dr
07/05/2023 21:00:00,0,HY Nelson at Princes Dr
07/05/2023 22:00:00,0,HY Nelson at Princes Dr
07/05/2023 23:00:00,1.5,HY Nelson at Princes Dr
08/05/2023 00:00:00,0.5,HY Nelson at Princes Dr
08/05/2023 01:00:00,0,HY Nelson at Princes Dr
08/05/2023 02:00:00,0,HY Nelson at Princes Dr
08/05/2023 03:00:00,0,HY Nelson at Princes Dr
08/05/2023 04:00:00,0,HY Nelson at Princes Dr
08/05/2023 05:00:00,1.5,HY Nelson at Princes Dr
08/05/2023 06:00:00,0.5,HY Nelson at Princes Dr
08/05/2023 07:00:00,0,HY Nelson at Princes Dr
08/05/2023 08:00:00,0.5,HY Nelson at Princes Dr
08/05/2023 09:00:00,0,HY Nelson at Princes Dr
08/05/2023 10:00:00,0,HY Nelson at Princes Dr
08/05/2023 11:00:00,0.5,HY Nelson at Princes Dr
08/05/2023 12:00:00,0,HY Nelson at Princes Dr
08/05/2023 13:00:00,1,HY Nelson at Princes Dr
08/05/2023 14:00:00,1,HY Nelson at Princes Dr
08/05/2023 15:00:00,0,HY Nelson at Princes Dr
08/05/2023 16:00:00,0,HY Nelson at Princes Dr
08/05/2023 17:00:00,0.5,HY Nelson at Princes Dr
08/05/2023 18:00:00,0,HY Nelson at Princes Dr
08/05/2023 19:00:00,0,HY Nelson at Princes Dr
08/05/2023 20:00:00,0,HY Nelson at Princes Dr
08/05/2023 21:00:00,0,HY Nelson at Princes Dr
08/05/2023 22:00:00,0,HY Nelson at Princes Dr
08/05/2023 23:00:00,0,HY Nelson at Princes Dr
09/05/2023 00:00:00,0,HY Nelson at Princes Dr
09/05/2023 01:00:00,0,HY Nelson at Princes Dr
09/05/2023 02:00:00,0,HY Nelson at Princes Dr
09/05/2023 03:00:00,1.5,HY Nelson at Princes Dr
09/05/2023 04:00:00,1,HY Nelson at Princes Dr
09/05/2023 05:00:00,1,HY Nelson at Princes Dr
09/05/2023 06:00:00,1,HY Nelson at Princes Dr
09/05/2023 07:00:00,0,HY Nelson at Princes Dr
09/05/2023 08:00:00,1.5,HY Nelson at Princes Dr
09/05/2023 09:00:00,4.5,HY Nelson at Princes Dr
09/05/2023 10:00:00,3,HY Nelson at Princes Dr
09/05/2023 11:00:00,2,HY Nelson at Princes Dr
09/05/2023 12:00:00,1,HY Nelson at Princes Dr
09/05/2023 13:00:00,1.5,HY Nelson at Princes Dr
09/05/2023 14:00:00,1,HY Nelson at Princes Dr
09/05/2023 15:00:00,2.5,HY Nelson at Princes Dr
09/05/2023 16:00:00,1,HY Nelson at Princes Dr
09/05/2023 17:00:00,4.5,HY Nelson at Princes Dr
09/05/2023 18:00:00,2.5,HY Nelson at Princes Dr
09/05/2023 19:00:00,4,HY Nelson at Princes Dr
09/05/2023 20:00:00,1.5,HY Nelson at Princes Dr
09/05/2023 21:00:00,2,HY Nelson at Princes Dr
09/05/2023 22:00:00,7.5,HY Nelson at Princes Dr
09/05/2023 23:00:00,1,HY Nelson at Princes Dr
10/05/2023 00:00:00,0,HY Nelson at Princes Dr
10/05/2023 01:00:00,0.5,HY Nelson at Princes Dr
10/05/2023 02:00:00,0,HY Nelson at Princes Dr
10/05/2023 03:00:00,0,HY Nelson at Princes Dr
10/05/2023 04:00:00,0,HY Nelson at Princes Dr
10/05/2023 05:00:00,0,HY Nelson at Princes Dr
10/05/2023 06:00:00,3,HY Nelson at Princes Dr
10/05/2023 07:00:00,1,HY Nelson at Princes Dr
10/05/2023 08:00:00,0.5,HY Nelson at Princes Dr
10/05/2023 09:00:00,3,HY Nelson at Princes Dr
